"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.609069583E-1,-2.209075928E0,2.499020386E1,-1.774252319E1,3.072763308E1
1.709159583E-1,-2.591785431E0,2.460799026E1,-1.795074463E1,3.056958896E1
1.809259583E-1,-2.591785431E0,2.460799026E1,-1.795074463E1,3.056958896E1
1.909359583E-1,-2.763725281E0,2.436174011E1,-1.798565674E1,3.040750577E1
2.009459583E-1,-2.763725281E0,2.436174011E1,-1.798565674E1,3.040750577E1
2.109559583E-1,-3.019107819E0,2.457292938E1,-1.792462158E1,3.056527326E1
2.209649583E-1,-3.019107819E0,2.457292938E1,-1.792462158E1,3.056527326E1
2.309749583E-1,-2.724323273E0,2.496913147E1,-1.761834717E1,3.068037843E1
2.409539583E-1,-2.724323273E0,2.496913147E1,-1.761834717E1,3.068037843E1
2.509639583E-1,-2.546661377E0,2.506000519E1,-1.758230591E1,3.071850949E1
2.609739583E-1,-2.546661377E0,2.506000519E1,-1.758230591E1,3.071850949E1
2.709839583E-1,-2.413169861E0,2.512482834E1,-1.768063354E1,3.081696271E1
2.809929583E-1,-2.413169861E0,2.512482834E1,-1.768063354E1,3.081696271E1
2.910029583E-1,5.412170410E0,3.327194595E1,-1.201635742E1,3.578696441E1
3.010129583E-1,5.412170410E0,3.327194595E1,-1.201635742E1,3.578696441E1
3.110229583E-1,8.105941772E0,3.621563339E1,-1.004309082E1,3.844661321E1
3.210319583E-1,8.105941772E0,3.621563339E1,-1.004309082E1,3.844661321E1
3.310119583E-1,8.334381104E0,3.631389618E1,-9.896331787E0,3.854994613E1
3.410209583E-1,8.334381104E0,3.631389618E1,-9.896331787E0,3.854994613E1
3.510309583E-1,8.581611633E0,3.620418549E1,-9.684265137E0,3.844700373E1
3.610409583E-1,8.581611633E0,3.620418549E1,-9.684265137E0,3.844700373E1
3.710509583E-1,8.996475220E0,3.664727783E1,-9.554595947E0,3.892621023E1
3.810609583E-1,8.996475220E0,3.664727783E1,-9.554595947E0,3.892621023E1
3.910699583E-1,8.870056152E0,3.667906570E1,-9.414184570E0,3.889291231E1
4.010799583E-1,8.870056152E0,3.667906570E1,-9.414184570E0,3.889291231E1
4.110589583E-1,8.883270264E0,3.668363953E1,-9.477294922E0,3.891556268E1
4.210574583E-1,8.883270264E0,3.668363953E1,-9.477294922E0,3.891556268E1
4.310674583E-1,8.641304016E0,3.648773575E1,-9.767791748E0,3.874837740E1
4.410774583E-1,8.641304016E0,3.648773575E1,-9.767791748E0,3.874837740E1
4.510864583E-1,8.480613708E0,3.630826569E1,-9.603820801E0,3.850252381E1
4.610964583E-1,8.480613708E0,3.630826569E1,-9.603820801E0,3.850252381E1
4.711064583E-1,8.339408875E0,3.644820786E1,-9.664337158E0,3.861886856E1
4.811164583E-1,8.668289185E-1,2.830514908E1,-1.521841431E1,3.214860791E1
4.911254583E-1,8.668289185E-1,2.830514908E1,-1.521841431E1,3.214860791E1
5.011054583E-1,-2.145431519E0,2.534968185E1,-1.723434448E1,3.072835622E1
5.111144583E-1,-2.145431519E0,2.534968185E1,-1.723434448E1,3.072835622E1
5.211244583E-1,-2.498374939E0,2.533649063E1,-1.738006592E1,3.082606569E1
5.311344583E-1,-2.498374939E0,2.533649063E1,-1.738006592E1,3.082606569E1
5.411444583E-1,-2.799892426E0,2.540349960E1,-1.786212158E1,3.118064427E1
5.511534583E-1,-2.799892426E0,2.540349960E1,-1.786212158E1,3.118064427E1
