"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.807416668E-2,-1.935653687E0,1.816424561E1,-1.353384399E1,2.273436841E1
9.808416665E-2,-2.064323425E0,1.795381546E1,-1.343136597E1,2.251671629E1
1.080941667E-1,-2.064323425E0,1.795381546E1,-1.343136597E1,2.251671629E1
1.181031667E-1,-2.240097046E0,1.821936417E1,-1.342309570E1,2.274077315E1
1.281131667E-1,-2.240097046E0,1.821936417E1,-1.342309570E1,2.274077315E1
1.381231667E-1,-2.010246277E0,1.829427338E1,-1.333343506E1,2.272668077E1
1.481331667E-1,-2.010246277E0,1.829427338E1,-1.333343506E1,2.272668077E1
1.581421667E-1,-1.929779053E0,1.811289215E1,-1.343359375E1,2.263321343E1
1.681521666E-1,-1.929779053E0,1.811289215E1,-1.343359375E1,2.263321343E1
1.781621667E-1,-1.742500305E0,1.821361923E1,-1.360229492E1,2.279900568E1
1.881721666E-1,-1.742500305E0,1.821361923E1,-1.360229492E1,2.279900568E1
1.981811667E-1,-1.920753479E0,1.840119553E1,-1.352645874E1,2.291851602E1
2.081747917E-1,-1.920753479E0,1.840119553E1,-1.352645874E1,2.291851602E1
2.181537917E-1,-1.903205872E0,1.808805084E1,-1.342230225E1,2.260437952E1
2.281637916E-1,-1.903205872E0,1.808805084E1,-1.342230225E1,2.260437952E1
2.381737917E-1,-1.725845337E0,1.821743774E1,-1.331845093E1,2.263260293E1
2.481837916E-1,-1.725845337E0,1.821743774E1,-1.331845093E1,2.263260293E1
2.581937917E-1,-1.825874329E0,1.810947990E1,-1.320812988E1,2.248870326E1
2.682027917E-1,-1.825874329E0,1.810947990E1,-1.320812988E1,2.248870326E1
2.782127917E-1,-1.655319214E0,1.800513458E1,-1.342758179E1,2.252165415E1
2.882227917E-1,-1.655319214E0,1.800513458E1,-1.342758179E1,2.252165415E1
2.982327917E-1,-1.677818298E0,1.819482422E1,-1.360998535E1,2.278373112E1
3.082417917E-1,-1.677818298E0,1.819482422E1,-1.360998535E1,2.278373112E1
3.182517916E-1,1.965438843E0,2.817595673E1,-1.053036499E1,3.014359093E1
3.282617917E-1,1.965438843E0,2.817595673E1,-1.053036499E1,3.014359093E1
3.382717917E-1,3.430450439E0,3.181269073E1,-9.508758545E0,3.338011041E1
3.482807917E-1,3.430450439E0,3.181269073E1,-9.508758545E0,3.338011041E1
3.582907917E-1,3.487648010E0,3.197047424E1,-9.079284668E0,3.341718603E1
3.683007917E-1,3.487648010E0,3.197047424E1,-9.079284668E0,3.341718603E1
3.783107917E-1,3.336784363E0,3.154516983E1,-9.120300293E0,3.300623800E1
3.883197916E-1,3.336784363E0,3.154516983E1,-9.120300293E0,3.300623800E1
3.983297917E-1,3.429313660E0,3.191281509E1,-9.238647461E0,3.339970908E1
4.083397916E-1,3.585784912E0,3.217543411E1,-9.258697510E0,3.367253916E1
4.183187917E-1,3.585784912E0,3.217543411E1,-9.258697510E0,3.367253916E1
4.283287917E-1,3.572776794E0,3.187240601E1,-9.270996094E0,3.338512194E1
4.383387917E-1,3.572776794E0,3.187240601E1,-9.270996094E0,3.338512194E1
4.483487917E-1,3.390594482E0,3.187283325E1,-9.312774658E0,3.337815756E1
4.583577916E-1,3.390594482E0,3.187283325E1,-9.312774658E0,3.337815756E1
4.683677917E-1,3.378677368E0,3.166959000E1,-9.252258301E0,3.316598672E1
4.783777916E-1,3.378677368E0,3.166959000E1,-9.252258301E0,3.316598672E1
4.883877917E-1,3.626327515E0,3.192345428E1,-9.332794189E0,3.345681145E1
4.983967917E-1,3.626327515E0,3.192345428E1,-9.332794189E0,3.345681145E1
5.084067917E-1,3.421150208E0,3.153248596E1,-9.292572021E0,3.305077661E1
5.184167917E-1,3.421150208E0,3.153248596E1,-9.292572021E0,3.305077661E1
5.284267917E-1,3.570320129E0,3.181294632E1,-9.412292480E0,3.336767881E1
5.384357917E-1,3.570320129E0,3.181294632E1,-9.412292480E0,3.336767881E1
5.484457916E-1,3.458679199E0,3.170552063E1,-9.238464355E0,3.320469430E1
5.584557917E-1,3.458679199E0,3.170552063E1,-9.238464355E0,3.320469430E1
5.684657916E-1,3.497932434E0,3.192595291E1,-9.494140625E0,3.349090484E1
5.784757917E-1,3.497932434E0,3.192595291E1,-9.494140625E0,3.349090484E1
5.884847917E-1,-3.819656372E-1,2.186176682E1,-1.230307007E1,2.508880785E1
5.984947917E-1,-3.819656372E-1,2.186176682E1,-1.230307007E1,2.508880785E1
6.085047917E-1,-1.719825745E0,1.825524139E1,-1.326004028E1,2.262830765E1
6.184837917E-1,-1.719825745E0,1.825524139E1,-1.326004028E1,2.262830765E1
6.284937917E-1,-1.765213013E0,1.829608345E1,-1.352578735E1,2.282125260E1
6.385037916E-1,-1.765213013E0,1.829608345E1,-1.352578735E1,2.282125260E1
6.485127917E-1,-1.778282166E0,1.794004822E1,-1.342404175E1,2.247693294E1
6.585227917E-1,-1.778282166E0,1.794004822E1,-1.342404175E1,2.247693294E1
6.685327917E-1,-1.805625916E0,1.790216064E1,-1.340618896E1,2.243821613E1
6.785427917E-1,-1.805625916E0,1.790216064E1,-1.340618896E1,2.243821613E1
6.885517917E-1,-1.801193237E0,1.809790802E1,-1.343658447E1,2.261239426E1
6.985617917E-1,-1.801193237E0,1.809790802E1,-1.343658447E1,2.261239426E1
7.085717916E-1,-1.814582825E0,1.815316010E1,-1.340084839E1,2.263653396E1
7.185817917E-1,-1.814582825E0,1.815316010E1,-1.340084839E1,2.263653396E1
7.285907917E-1,-2.010467529E0,1.778018951E1,-1.342059326E1,2.236715097E1
7.386007917E-1,-2.010467529E0,1.778018951E1,-1.342059326E1,2.236715097E1
7.486107917E-1,-1.632781982E0,1.756619644E1,-1.367358398E1,2.232048685E1
7.586207917E-1,-1.709548950E0,1.798577118E1,-1.379721069E1,2.273265373E1
7.686307917E-1,-1.709548950E0,1.798577118E1,-1.379721069E1,2.273265373E1
7.786397916E-1,-1.699493408E0,1.812397766E1,-1.346347046E1,2.264137542E1
7.886497917E-1,-1.699493408E0,1.812397766E1,-1.346347046E1,2.264137542E1
7.986597916E-1,-1.951194763E0,1.792765617E1,-1.352130127E1,2.253960082E1
8.086697917E-1,-1.951194763E0,1.792765617E1,-1.352130127E1,2.253960082E1
8.186787917E-1,-1.930885315E0,1.806875610E1,-1.335205078E1,2.254962362E1
